"Missing Age","State"
"37 Years","KY"
"36 Years","NC"
"35 Years","NC"
"18 Years","MD"
"25 Years","NC"
"33 Years","WV"
"16 Years","TN"
"51 Years","GA"
"17 Years","NC"
"17 Years","TN"
"34 Years","TN"
"17 Years","NC"
"25 Years","TN"
"54 Years","GA"
"53 Years","TN"
"53 Years","TN"
"39 Years","TN"
"54 Years","NY"
"16 Years","VA"
"15 Years","TN"
"68 Years","TN"
"56 Years","VA"
"14 Years","TN"
"49 Years","NC"
"36 Years","GA"
"24 Years","MD"
"16 Years","TN"
"15 Years","NY"
"14 Years","VA"
"31 Years","MS"
"13 Years","KY"
"14 Years","TN"
"60 Years","TN"
"16 Years","TN"
"66 Years","OH"
"15 Years","TN"
"1 Year","PA"
"15 Years","PA"
"17 Years","TN"
"17 Years","TN"
"16 Years","TN"
"17 Years","TN"
"38 Years","MD"
"16 Years","TN"
"17 Years","TN"
"32 Years","NC"
"53 Years","TN"
"30 Years","NC"
"60 Years","TN"
"33 Years","NC"
"17 Years","TN"
"15 Years","TN"
"15 Years","TN"
"56 Years","TN"
"40 Years","TN"
"37 Years","AL"
"25 Years","NC"
"54 Years","GA"
"18 Years","NY"
"48 Years","TN"
"40 Years","OH"
"14 Years","TN"
"16 Years","NC"
"15 Years","KY"
"42 Years","NC"
"17 Years","NC"
"17 Years","NC"
"40 Years","NC"
"15 Years","PA"
"28 Years","MS"
"16 Years","TN"
"63 Years","GA"
"33 Years","NC"
"18 Years","GA"
"34 Years","TN"
"17 Years","TN"
"16 Years","NY"
"17 Years","TN"
"16 Years","NC"
"39 Years","NC"
"25 Years","TN"
"17 Years","TN"
"17 Years","NY"
"38 Years","TN"
"17 Years","TN"
"59 Years","NY"
"14 Years","TN"
"37 Years","TN"
"50 Years","VA"
"15 Years","TN"
"55 Years","VA"
"16 Years","TN"
"16 Years","TN"
"16 Years","TN"
"17 Years","TN"
"16 Years","TN"
"49 Years","TN"
"54 Years","TN"
"16 Years","TN"
"19 Years","TN"
"12 Years","TN"
"28 Years","NY"
"17 Years","OH"
"21 Years","OH"
"42 Years","OH"
"14 Years","TN"
"17 Years","PA"
"14 Years","VA"
"61 Years","NC"
"39 Years","TN"
"17 Years","TN"
"17 Years","NY"
"16 Years","AL"
"14 Years","KY"
"16 Years","KY"
"42 Years","MS"
"17 Years","TN"
"17 Years","TN"
"63 Years","VA"
"31 Years","NY"
"30 Years","PA"
"16 Years","NY"
"42 Years","NY"
"17 Years","TN"
"15 Years","TN"
"60 Years","NY"
"68 Years","PA"
"57 Years","PA"
"41 Years","TN"
"31 Years","OH"
"54 Years","NC"
"17 Years","TN"
"34 Years","NC"
"46 Years","MS"
"23 Years","GA"
"27 Years","NC"
"44 Years","OH"
"66 Years","NC"
"15 Years","TN"
"36 Years","TN"
"64 Years","NY"
"57 Years","TN"
"16 Years","NC"
"17 Years","NY"
"34 Years","NC"
"22 Years","TN"
"60 Years","NY"
"17 Years","TN"
"29 Years","TN"
"38 Years","NY"
"17 Years","TN"
"33 Years","NC"
"16 Years","MS"
"30 Years","NC"
"37 Years","VA"
"39 Years","NY"
"31 Years","TN"
"53 Years","MS"
"47 Years","OH"
"16 Years","TN"
"43 Years","KY"
"61 Years","NY"
"73 Years","OH"
"43 Years","TN"
"16 Years","TN"
"17 Years","GA"
"16 Years","TN"
"58 Years","MD"
"37 Years","TN"
"38 Years","VA"
"17 Years","TN"
"13 Years","TN"
"20 Years","SC"
"28 Years","TN"
"15 Years","NC"
"46 Years","MS"
"51 Years","TN"
"< 1 Year","PA"
"17 Years","NY"
"17 Years","TN"
"60 Years","KY"
"25 Years","NC"
"16 Years","TN"
"15 Years","TN"
"50 Years","NC"
"37 Years","NC"
"17 Years","TN"
"41 Years","SC"
"17 Years","NY"
"40 Years","MS"
"51 Years","TN"
"35 Years","OH"
"18 Years","KY"
"65 Years","VA"
"58 Years","AL"
"16 Years","PA"
"68 Years","NY"
"41 Years","AL"
"24 Years","KY"
"65 Years","NC"
"17 Years","TN"
"45 Years","VA"
"16 Years","VA"
"20 Years","TN"
"60 Years","PA"
"44 Years","KY"
"45 Years","VA"
"54 Years","OH"
"20 Years","SC"
"30 Years","TN"
"2 Years","SC"
"33 Years","PA"
"14 Years","TN"
"31 Years","OH"
"42 Years","NC"
"60 Years","NC"
"37 Years","NY"
"15 Years","OH"
"54 Years","AL"
"17 Years","NC"
"17 Years","KY"
"31 Years","NC"
"17 Years","TN"
"17 Years","TN"
"57 Years","TN"
"15 Years","GA"
"57 Years","TN"
"42 Years","NY"
"19 Years","TN"
"16 Years","NC"
"16 Years","TN"
"17 Years","KY"
"31 Years","TN"
"51 Years","TN"
"17 Years","TN"
"36 Years","NC"
"14 Years","TN"
"54 Years","VA"
"17 Years","GA"
"17 Years","TN"
"54 Years","WV"
"16 Years","TN"
"16 Years","NY"
"61 Years","TN"
"18 Years","NC"
"18 Years","AL"
"16 Years","SC"
"34 Years","TN"
"16 Years","TN"
"49 Years","NY"
"16 Years","NY"
"20 Years","KY"
"16 Years","TN"
"16 Years","VA"
"44 Years","SC"
"17 Years","TN"
"39 Years","NY"
"26 Years","NC"
"17 Years","TN"
"57 Years","MD"
"45 Years","VA"
"17 Years","TN"
"33 Years","GA"
"77 Years","VA"
"27 Years","GA"
"64 Years","SC"
"54 Years","NY"
"78 Years","NY"
"63 Years","NC"
"16 Years","TN"
"14 Years","TN"
"44 Years","TN"
"50 Years","NC"
"51 Years","TN"
"16 Years","VA"
"16 Years","VA"
"33 Years","WV"
"16 Years","PA"
"30 Years","NC"
"34 Years","NC"
"22 Years","TN"
"15 Years","TN"
"28 Years","TN"
"37 Years","OH"
"15 Years","VA"
"36 Years","NC"
"16 Years","NY"
"38 Years","PA"
"68 Years","NC"
"38 Years","NY"
"15 Years","TN"
"17 Years","TN"
"63 Years","NC"
"17 Years","GA"
"16 Years","VA"
"64 Years","OH"
"41 Years","NY"
"15 Years","TN"
"44 Years","VA"
"15 Years","NY"
"18 Years","TN"
"15 Years","KY"
"16 Years","TN"
"16 Years","TN"
"23 Years","OH"
"39 Years","AL"
"18 Years","NY"
"17 Years","TN"
